s	time	x	y	Vx	Vy	yaw_rate	ax	ay	delta	throttle	brake
292.522235189	14.4394112716	-64.9297503001	49.5830868833	12.3947725041	1.25076356541	-1.3061172357	-1.7148439016	-13.7333453351	-0.037483353077	4.41132191169e-06	-0.0805624965861
294.069971884	14.5564605634	-64.9777655733	50.7585422863	12.0228646907	1.42511529668	-1.24764543062	-1.23485933698	-14.3948933295	-0.0323303279581	0.000102276866584	-0.0568231810745
295.617708578	14.6682535987	-64.918234282	51.8884250305	11.6977355847	1.42809590331	-1.21568854673	-1.06675769842	-14.7284968313	-0.039518975591	0.00063337969675	-0.0398454811616
297.165445272	14.7725442509	-64.7483456877	52.9968469873	11.4215831543	1.33964784413	-1.20081087993	-0.886965507038	-14.8864655073	-0.0517448329252	0.00192967317667	-0.0280284507247
298.713181966	14.8687649184	-64.4471400202	54.0981444563	11.1888079434	1.20705177743	-1.195433831	-0.898041374631	-14.9484375597	-0.0663399084191	0.0039341944872	-0.0200743366815
300.26091866	14.9588065885	-63.9920589281	55.1691843257	10.9879873608	1.05482195477	-1.19993650181	-0.852307990013	-14.9882730457	-0.0822459134066	0.0058634225111	-0.0156382898318
301.808655354	15.045937382	-63.3754210681	56.1738495975	10.8076558038	0.894722937686	-1.21408327601	-0.93209078224	-14.9872919309	-0.0993085204435	0.00863889405473	-0.0114903745144
303.356392048	15.1332791712	-62.6136686563	57.0686496391	10.6395834305	0.735597653221	-1.24120172912	-0.912678433451	-14.9811859355	-0.11658927768	0.0112703541266	-0.00882475991094
304.904128742	15.2234920123	-61.7384871375	57.8228351827	10.4788731474	0.587176464719	-1.27781296752	-0.982502093163	-14.901493906	-0.131329749136	0.0147383681214	-0.00636678938469
306.451865437	15.3176912296	-60.7832943381	58.4201632698	10.3266787205	0.460009035609	-1.31689474262	-0.885510892825	-14.7825133246	-0.142280915914	0.0192592656983	-0.0042312126148
307.999602131	15.4162215066	-59.774358039	58.8563074902	10.1849408595	0.357431839026	-1.34933951855	-0.900171431795	-14.6357204168	-0.150726039675	0.0234413506325	-0.0029139418048
309.547338825	15.5185360038	-58.7349397709	59.1304693507	10.0579223354	0.277070460171	-1.37205933223	-0.714820896733	-14.4698712875	-0.156740802972	0.0317601562262	-0.0013710246375
311.095075519	15.6239287303	-57.6785989797	59.2437283121	9.95022834402	0.211480140156	-1.37502538501	-0.656031787441	-14.2459757596	-0.158516303026	0.0370299062532	-0.000833579470583
312.642812213	15.7318194082	-56.6183680562	59.1966393653	9.87571855562	0.150399874032	-1.34153423935	-0.22455419106	-13.784629091	-0.154233921314	0.0564560261875	-0.000106756558167
314.190548907	15.8419512665	-55.5594165169	58.9871162047	9.85491838618	0.0692679428281	-1.23154275546	0.142909470205	-13.0003855679	-0.141349355955	0.0717346529348	-1.551008392e-05
315.738285601	15.9540598271	-54.4950440891	58.6114016678	9.96665164581	-0.00627261290803	-1.05635317436	1.94072735049	-10.8910295875	-0.119690122235	0.176888668113	-2.91878268753e-15
317.286022295	16.0672227943	-53.4372469629	58.0788605668	10.293343765	-0.0134431087968	-0.90902351901	3.71204360619	-9.19552659702	-0.0997314343728	0.307083947685	-2.56847923948e-35
318.833758989	16.1805163551	-52.398505988	57.4082895465	10.7719737809	-0.000699919562382	-0.799293830117	4.71055362711	-8.53910894264	-0.0857615280397	0.376788912613	-8.61246070615e-52
320.381495684	16.2933148597	-51.3917107406	56.6203880219	11.3407000211	0.0125484931103	-0.70171861627	5.38323429873	-7.77274704409	-0.0715458484615	0.456059855448	-1.31320764244e-74
321.929232378	16.4051119528	-50.4165164092	55.7289659949	11.9796552097	0.033342244129	-0.598769664016	6.06749152961	-6.96976695703	-0.0574910514507	0.525310852883	-4.27570403572e-98
323.476969072	16.5151197198	-49.468842804	54.7469340691	12.6733248204	0.0556353406174	-0.49846797711	6.5843264515	-6.09981491288	-0.0440981616573	0.605997138787	-1.21402705308e-129
325.024705766	16.6226326044	-48.547230468	53.6890267454	13.407566482	0.0740509229157	-0.40871619894	7.11959209272	-5.35211194166	-0.0337554782537	0.681267815663	-3.96138760098e-163
326.57244246	16.7271198574	-47.6474263808	52.5680478078	14.1715219817	0.0904274623403	-0.327885634727	7.54969176488	-4.4613341433	-0.0239279082887	0.772481332391	-5.89751001887e-209
328.120179154	16.8282526175	-46.7650939376	51.3960365187	14.9533771193	0.104015690698	-0.240116106106	7.9512638871	-3.5095650669	-0.0144463898906	0.843681073083	-1.00529241104e-248
329.667915848	16.9258901701	-45.8992396937	50.18657303	15.7439179317	0.0945423206693	-0.214651135714	8.27201057918	-3.66301162118	-0.0165279304689	0.946239351178	-3.63075082795e-312
331.215652542	17.0200272588	-45.0607739222	48.9584418451	16.5187920472	0.0915331018296	-0.285520174706	8.23322396387	-4.46033089764	-0.0238615622367	0.980650999108	-0.0
332.763389237	17.1108389334	-44.2565338152	47.7177541607	17.2475066794	0.143781264851	-0.355036738964	7.87515161404	-5.1896695543	-0.0248080170871	0.992735212542	-0.0
334.311125931	17.1986142262	-43.4853590658	46.4575662002	17.9226743058	0.223297813905	-0.361092166832	7.63833329993	-5.56955698951	-0.0203128796222	0.99716692619	-0.0
335.858862625	17.2836832897	-42.7418430106	45.1691917881	18.5556652631	0.278503600078	-0.292048770529	7.38528056664	-5.01330120214	-0.00999537963204	0.998857793188	-0.0
337.406599319	17.3663328641	-42.0145064447	43.8438453602	19.1580538182	0.267991445933	-0.102234647999	7.16527540471	-2.54911639886	0.00773674435246	0.999525778675	-0.0
338.954336013	17.4467393783	-41.2809603175	42.4739317113	19.7282398794	0.163751794434	0.183044211418	6.80732750034	1.60923884455	0.0256033142844	0.999797744423	-0.0
340.502072707	17.5250370217	-40.5187568601	41.0688579015	20.2583626476	-0.0205007090992	0.399043265576	6.53009811319	5.17412100489	0.0328949426263	0.999911551603	-0.0
342.049809401	17.601358767	-39.7167914186	39.6554440725	20.7471084745	-0.239848583112	0.485735813682	6.30919210127	7.06792420412	0.0293293158717	0.999960411573	-0.0
343.597546095	17.6758292386	-38.8751790213	38.2578771364	21.1995953353	-0.438534166306	0.488367058107	6.13047085332	7.95592453432	0.0222732525008	0.999981894167	-0.0
345.14528279	17.7486175805	-37.9972749127	36.8894891161	21.6231680314	-0.582208135888	0.465354435781	5.98058426604	8.48801316853	0.0173774812487	0.999991556556	-0.0
346.693019484	17.8198904297	-37.0851963832	35.5545634215	22.0231029297	-0.674569427761	0.454400624319	5.8161096609	8.97493003739	0.0163359271216	0.999995993331	-0.0
348.240756178	17.8898691735	-36.1388845639	34.2535881144	22.4012163029	-0.747328558079	0.472249844664	5.64769236942	9.51032099335	0.0181971183839	0.999998070396	-0.0
349.788492872	17.9587887142	-35.1581230019	32.9879992445	22.752212705	-0.836989479875	0.515836181107	5.3230340045	10.1722947185	0.0208942316137	0.969269821318	-0.0
351.336229566	18.0269290956	-34.1433022724	31.7614507133	23.0621730232	-0.962154079387	0.570864522369	4.75603408351	11.021090152	0.0232765531882	0.890195926423	-1.3466326663499999e-276
352.88396626	18.0945997685	-33.0970922972	30.5817257468	23.3171427658	-1.11942714819	0.623456890184	4.0237101249	11.9998667136	0.0257299660413	0.788966802138	-7.49019776454e-218
354.431702954	18.1621153592	-32.0228566486	29.4573272082	23.5095275949	-1.29666015721	0.669052750052	3.24252607587	12.9835330073	0.0286396406027	0.674594189265	-5.30908607451e-160
355.979439648	18.2297486013	-30.9259488674	28.3978515957	23.6369834195	-1.48327853279	0.70703462393	2.44678371578	13.9141176124	0.0315315099215	0.556896445667	-6.57103929461e-110
357.527176343	18.2976721434	-29.8119886072	27.4104521276	23.7010367016	-1.66820833203	0.733742425791	1.71764396273	14.7260073125	0.0336953473484	0.446280117018	-1.4727772724900001e-71
359.074913037	18.3658792381	-28.687826295	26.4996986179	23.7081395362	-1.83819447932	0.747380424477	1.09454458735	15.3867732083	0.0347986804687	0.351294575767	-2.2395819768799998e-45
360.622649731	18.4340987831	-27.5594459235	25.6641647743	23.6687544575	-1.98137236991	0.749777570724	0.615539678455	15.8713541609	0.0349135596313	0.276738208362	-3.4081106642e-29
362.170386425	18.501730172	-26.4296190822	24.8953512278	23.5956718628	-2.09152653946	0.745220478877	0.271306300751	16.1942220278	0.0343211236222	0.222570888389	-7.58067836255e-20
363.718123119	18.5678480105	-25.2983378849	24.1791046849	23.5015485648	-2.16874683316	0.737799309337	0.04252854909	16.3887064096	0.0333723246487	0.185111156792	-2.55962886396e-16
365.265859813	18.6313281233	-24.156538623	23.4975552807	23.397249212	-2.21719623207	0.729916527137	-0.109031388695	16.4995772532	0.0324259373237	0.159619061422	-3.60562411768e-13
366.813596507	18.6911052402	-22.9921790502	22.8381011348	23.2909365345	-2.24257702883	0.72269306801	-0.208460848849	16.5599454165	0.0318021892131	0.142184523983	-2.94351200874e-11
368.361333201	18.7466229185	-21.7874089656	22.2004751125	23.1876247626	-2.25082084832	0.716769808896	-0.279193929919	16.5945650096	0.0317256980329	0.130007631173	-4.84851767334e-10
369.909069896	18.7980942841	-20.5265679685	21.598395373	23.0891968534	-2.24734877908	0.712695879913	-0.330411016822	16.6155882089	0.0322439018969	0.121505230997	-3.00487362737e-09
371.45680659	18.8468975432	-19.2121074196	21.0609645008	22.9945827361	-2.23668389027	0.710458174474	-0.356251251661	16.6135269677	0.0326791728348	0.117190973765	-7.27583824962e-09
373.004543284	18.8951000179	-17.8464457031	20.6056636027	22.9016583633	-2.22206619443	0.708805610467	-0.335275161354	16.5622327833	0.0317885782274	0.118399254736	-5.69553100003e-09
374.552279978	18.9451008235	-16.4585033254	20.2395870103	22.8083855155	-2.20459492579	0.705356219783	-0.265628371476	16.4561952641	0.0292992397704	0.12468737439	-1.53754455987e-09
376.100016672	18.9989869319	-15.0611183571	19.9453410834	22.7139021634	-2.18202400231	0.697720113303	-0.163808572453	16.3152278658	0.0261982765204	0.134678444506	-1.69966587855e-10
377.647753366	19.0577104019	-13.6655727207	19.7034201468	22.6200457046	-2.14873121093	0.684621734148	-0.0393038844251	16.1497394967	0.0233184199079	0.148423208031	-6.4235984980400005e-12
379.19549006	19.1214147266	-12.2667152881	19.4994113959	22.531093855	-2.0976319493	0.666204816429	0.115273833918	15.9468619521	0.0209082580638	0.167381298049	-4.3757606441499994e-14
380.743226754	19.1893466573	-10.8540838325	19.3320282184	22.4537573448	-2.02397793929	0.644183187228	0.309560113768	15.6906164839	0.0191171527617	0.193233528917	-2.32644547829e-17
382.290963449	19.2604084155	-9.41710631524	19.2101087601	22.3954036895	-1.92868898926	0.621626943456	0.551912580684	15.3700738282	0.0179653166486	0.227239215439	-1.4255912757e-20
383.838700143	19.3333968949	-7.94998430837	19.1458578255	22.3624023465	-1.81976084484	0.602033932395	0.840055352852	14.9915288644	0.0173574637353	0.269007201351	-9.78719696956e-28
385.386436837	19.4072243633	-6.45189173364	19.1514836634	22.3583973231	-1.70988855208	0.587973375456	1.1545444147	14.5870594813	0.0171752018907	0.315562941064	-3.84685581569e-37
386.934173531	19.4810222338	-4.92543279738	19.2350276879	22.3832644974	-1.61165682524	0.580399283156	1.46219777658	14.2074928273	0.0173781291829	0.362077997912	-4.9158753584500004e-48
388.481910225	19.5541820422	-3.37585249083	19.4010172247	22.4332543801	-1.53383778999	0.579180236889	1.72968555485	13.9012464608	0.0179650844105	0.403639059895	-4.934049713729999e-59
390.029646919	19.6263138068	-1.80829936912	19.6503967071	22.5021258494	-1.48064639199	0.583399595394	1.93295189105	13.6930190746	0.0187506447549	0.436376291597	-1.54619729529e-68
391.577383613	19.6972360844	-0.229649318311	19.981952819	22.5826547857	-1.45166907235	0.589906304899	2.05848848862	13.5728138679	0.0191378822218	0.457206410344	-5.70757494297e-75
393.125120307	19.7669123209	1.35344588062	20.3925591559	22.6679743119	-1.43911746235	0.590660928184	2.09693803991	13.4972805334	0.0181449947823	0.463063123796	-7.82977439027e-77
394.672857002	19.8354381491	2.93062596472	20.8767696277	22.7527387666	-1.42100451314	0.569744573209	2.0341146859	13.3800706214	0.0146055024878	0.450207330951	-8.940912553109999e-73
396.220593696	19.9029946418	4.48894443004	21.4260387334	22.834151368	-1.3512729859	0.498006274761	1.84121055192	12.9910014321	0.00705278036004	0.414329931428	-4.68808190853e-62
